# EVM prediction: Mode:STANDARD S-ratio: 2.26 323-619 orient(-) score(821.00) noncoding_equivalent(364.08) raw_noncoding(364.08) offset(0.00)
619	323	single-	4	6	{Augustus_model.g3389.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 1.79 2013-5308 orient(-) score(10011.00) noncoding_equivalent(5600.97) raw_noncoding(7229.05) offset(1628.07)
2253	2013	terminal-	6	6	{Augustus_model.g3390.t1;Augustus},{snap_scaffold_10-snap.1-T1;snap}
2316	2254	INTRON			{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus},{snap_scaffold_10-snap.1-T1;snap}
2384	2317	internal-	4	5	{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
2454	2385	INTRON			{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
2463	2455	internal-	4	6	{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
2533	2464	INTRON			{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
2625	2534	internal-	5	6	{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
2692	2626	INTRON			{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
2868	2693	internal-	6	4	{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
2930	2869	INTRON			{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
2967	2931	internal-	5	5	{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
3039	2968	INTRON			{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
3108	3040	internal-	5	4	{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
3168	3109	INTRON			{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
3196	3169	internal-	4	4	{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
3262	3197	INTRON			{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
3396	3263	internal-	5	6	{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
3458	3397	INTRON			{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
3572	3459	internal-	5	4	{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
3636	3573	INTRON			{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
3645	3637	internal-	5	4	{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus},{snap_scaffold_10-snap.1-T1;snap}
3713	3646	INTRON			{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
3742	3714	internal-	6	4	{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
3808	3743	INTRON			{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
3902	3809	internal-	5	5	{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
3981	3903	INTRON			{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
4244	3982	internal-	6	4	{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
4308	4245	INTRON			{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
4322	4309	internal-	4	5	{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
4392	4323	INTRON			{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
4455	4393	internal-	4	6	{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
4522	4456	INTRON			{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
4554	4523	internal-	5	6	{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
4616	4555	INTRON			{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
4629	4617	internal-	4	4	{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
4694	4630	INTRON			{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus},{snap_scaffold_10-snap.1-T1;snap}
4733	4695	internal-	4	6	{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
4799	4734	INTRON			{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
4838	4800	internal-	4	6	{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
4903	4839	INTRON			{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
5078	4904	internal-	6	6	{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
5150	5079	INTRON			{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}
5308	5151	initial-	4	5	{GlimmerHMM_glimmerT_4069-T1;GlimmerHMM},{GeneMark_model.4339_t;GeneMark},{Augustus_model.g3390.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 2.93 7401-9752 orient(+) score(7677.00) noncoding_equivalent(2616.13) raw_noncoding(2850.55) offset(234.42)
7401	7641	initial+	1	1	{GeneMark_model.4340_t;GeneMark},{GlimmerHMM_glimmerT_4070-T1;GlimmerHMM}
7642	7733	INTRON			{GeneMark_model.4340_t;GeneMark},{GlimmerHMM_glimmerT_4070-T1;GlimmerHMM},{Augustus_model.g3391.t1;Augustus}
7734	7985	internal+	2	1	{GeneMark_model.4340_t;GeneMark},{GlimmerHMM_glimmerT_4070-T1;GlimmerHMM},{Augustus_model.g3391.t1;Augustus}
7986	8050	INTRON			{GeneMark_model.4340_t;GeneMark},{GlimmerHMM_glimmerT_4070-T1;GlimmerHMM},{Augustus_model.g3391.t1;Augustus}
8051	8635	internal+	2	1	{GeneMark_model.4340_t;GeneMark},{GlimmerHMM_glimmerT_4070-T1;GlimmerHMM},{Augustus_model.g3391.t1;Augustus}
8636	8703	INTRON			{GeneMark_model.4340_t;GeneMark},{GlimmerHMM_glimmerT_4070-T1;GlimmerHMM},{Augustus_model.g3391.t1;Augustus}
8704	8923	internal+	2	2	{GeneMark_model.4340_t;GeneMark},{GlimmerHMM_glimmerT_4070-T1;GlimmerHMM},{Augustus_model.g3391.t1;Augustus}
8924	8991	INTRON			{snap_scaffold_10-snap.3-T1;snap},{GeneMark_model.4340_t;GeneMark},{GlimmerHMM_glimmerT_4070-T1;GlimmerHMM},{Augustus_model.g3391.t1;Augustus}
8992	9497	internal+	3	1	{GeneMark_model.4340_t;GeneMark},{GlimmerHMM_glimmerT_4070-T1;GlimmerHMM},{Augustus_model.g3391.t1;Augustus}
9498	9591	INTRON			{GeneMark_model.4340_t;GeneMark},{GlimmerHMM_glimmerT_4070-T1;GlimmerHMM},{Augustus_model.g3391.t1;Augustus}
9592	9752	terminal+	2	3	{GeneMark_model.4340_t;GeneMark},{GlimmerHMM_glimmerT_4070-T1;GlimmerHMM},{Augustus_model.g3391.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 1.52 10467-11794 orient(+) score(3560.00) noncoding_equivalent(2348.74) raw_noncoding(3215.00) offset(866.26)
10467	10584	initial+	1	1	{GeneMark_model.4341_t;GeneMark},{GlimmerHMM_glimmerT_4071-T1;GlimmerHMM},{Augustus_model.g3392.t1;Augustus}
10585	10662	INTRON			{GeneMark_model.4341_t;GeneMark},{GlimmerHMM_glimmerT_4071-T1;GlimmerHMM},{Augustus_model.g3392.t1;Augustus}
10663	10725	internal+	2	1	{GeneMark_model.4341_t;GeneMark},{GlimmerHMM_glimmerT_4071-T1;GlimmerHMM},{Augustus_model.g3392.t1;Augustus}
10726	10793	INTRON			{GeneMark_model.4341_t;GeneMark},{GlimmerHMM_glimmerT_4071-T1;GlimmerHMM},{Augustus_model.g3392.t1;Augustus}
10794	10885	internal+	2	3	{GeneMark_model.4341_t;GeneMark},{GlimmerHMM_glimmerT_4071-T1;GlimmerHMM},{Augustus_model.g3392.t1;Augustus}
10886	10985	INTRON			{GeneMark_model.4341_t;GeneMark},{Augustus_model.g3392.t1;Augustus}
10986	11045	internal+	1	3	{GeneMark_model.4341_t;GeneMark},{Augustus_model.g3392.t1;Augustus}
11046	11140	INTRON			{GeneMark_model.4341_t;GeneMark},{Augustus_model.g3392.t1;Augustus}
11141	11233	internal+	1	3	{GeneMark_model.4341_t;GeneMark},{Augustus_model.g3392.t1;Augustus}
11234	11309	INTRON			{GeneMark_model.4341_t;GeneMark},{Augustus_model.g3392.t1;Augustus}
11310	11467	internal+	1	2	{GeneMark_model.4341_t;GeneMark},{GlimmerHMM_glimmerT_4071-T1;GlimmerHMM},{Augustus_model.g3392.t1;Augustus}
11468	11545	INTRON			{GeneMark_model.4341_t;GeneMark},{GlimmerHMM_glimmerT_4071-T1;GlimmerHMM},{Augustus_model.g3392.t1;Augustus}
11546	11681	internal+	3	3	{GeneMark_model.4341_t;GeneMark},{GlimmerHMM_glimmerT_4071-T1;GlimmerHMM},{Augustus_model.g3392.t1;Augustus}
11682	11764	INTRON			{GeneMark_model.4341_t;GeneMark},{GlimmerHMM_glimmerT_4071-T1;GlimmerHMM},{Augustus_model.g3392.t1;Augustus}
11765	11794	terminal+	1	3	{GeneMark_model.4341_t;GeneMark},{GlimmerHMM_glimmerT_4071-T1;GlimmerHMM},{Augustus_model.g3392.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 5.97 12359-13803 orient(-) score(5206.00) noncoding_equivalent(871.62) raw_noncoding(1135.60) offset(263.99)
13315	12359	terminal-	4	6	{Augustus_model.g3393.t1;Augustus},{GlimmerHMM_glimmerT_4072-T1;GlimmerHMM},{GeneMark_model.4342_t;GeneMark},{snap_scaffold_10-snap.4-T1;snap}
13392	13316	INTRON			{Augustus_model.g3393.t1;Augustus},{GlimmerHMM_glimmerT_4072-T1;GlimmerHMM},{GeneMark_model.4342_t;GeneMark},{snap_scaffold_10-snap.4-T1;snap}
13614	13393	internal-	4	6	{Augustus_model.g3393.t1;Augustus},{GeneMark_model.4342_t;GeneMark}
13689	13615	INTRON			{Augustus_model.g3393.t1;Augustus},{GeneMark_model.4342_t;GeneMark}
13704	13690	internal-	4	6	{Augustus_model.g3393.t1;Augustus},{GeneMark_model.4342_t;GeneMark}
13761	13705	INTRON			{Augustus_model.g3393.t1;Augustus},{GeneMark_model.4342_t;GeneMark}
13803	13762	initial-	4	6	{Augustus_model.g3393.t1;Augustus},{GeneMark_model.4342_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 2.62 14073-15921 orient(+) score(5755.00) noncoding_equivalent(2197.48) raw_noncoding(2668.00) offset(470.52)
14073	14087	initial+	1	3	{GeneMark_model.4343_t;GeneMark},{Augustus_model.g3394.t1;Augustus},{GlimmerHMM_glimmerT_4073-T1;GlimmerHMM}
14088	14147	INTRON			{GeneMark_model.4343_t;GeneMark},{Augustus_model.g3394.t1;Augustus},{GlimmerHMM_glimmerT_4073-T1;GlimmerHMM}
14148	14423	internal+	1	3	{GeneMark_model.4343_t;GeneMark},{Augustus_model.g3394.t1;Augustus},{GlimmerHMM_glimmerT_4073-T1;GlimmerHMM}
14424	14486	INTRON			{GeneMark_model.4343_t;GeneMark},{Augustus_model.g3394.t1;Augustus},{GlimmerHMM_glimmerT_4073-T1;GlimmerHMM}
14487	14580	internal+	1	1	{GeneMark_model.4343_t;GeneMark},{Augustus_model.g3394.t1;Augustus},{GlimmerHMM_glimmerT_4073-T1;GlimmerHMM}
14581	14648	INTRON			{GeneMark_model.4343_t;GeneMark},{Augustus_model.g3394.t1;Augustus},{GlimmerHMM_glimmerT_4073-T1;GlimmerHMM}
14649	14771	internal+	2	1	{Augustus_model.g3394.t1;Augustus},{GlimmerHMM_glimmerT_4073-T1;GlimmerHMM}
14772	14880	INTRON			{Augustus_model.g3394.t1;Augustus},{GlimmerHMM_glimmerT_4073-T1;GlimmerHMM}
14881	15219	internal+	2	1	{GeneMark_model.4343_t;GeneMark},{Augustus_model.g3394.t1;Augustus},{GlimmerHMM_glimmerT_4073-T1;GlimmerHMM}
15220	15316	INTRON			{GeneMark_model.4343_t;GeneMark},{Augustus_model.g3394.t1;Augustus},{GlimmerHMM_glimmerT_4073-T1;GlimmerHMM}
15317	15921	terminal+	2	3	{GeneMark_model.4343_t;GeneMark},{Augustus_model.g3394.t1;Augustus},{GlimmerHMM_glimmerT_4073-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 3.73 18015-20624 orient(+) score(11597.00) noncoding_equivalent(3111.41) raw_noncoding(3675.00) offset(563.59)
18015	18061	initial+	1	2	{Augustus_model.g3395.t1;Augustus}
18062	18132	INTRON			{Augustus_model.g3395.t1;Augustus},{GeneMark_model.4344_t;GeneMark},{GlimmerHMM_glimmerT_4074-T1;GlimmerHMM}
18133	18253	internal+	3	3	{Augustus_model.g3395.t1;Augustus},{GeneMark_model.4344_t;GeneMark},{GlimmerHMM_glimmerT_4074-T1;GlimmerHMM}
18254	18334	INTRON			{Augustus_model.g3395.t1;Augustus},{GeneMark_model.4344_t;GeneMark},{snap_scaffold_10-snap.6-T1;snap},{GlimmerHMM_glimmerT_4074-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.1041/Target=lcl|KQ954479_1_prot_KWU44389_1_3146;exonerate}
18335	18542	internal+	1	1	{Augustus_model.g3395.t1;Augustus},{GeneMark_model.4344_t;GeneMark},{GlimmerHMM_glimmerT_4074-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.1041/Target=lcl|KQ954479_1_prot_KWU44389_1_3146;exonerate}
18543	18615	INTRON			{Augustus_model.g3395.t1;Augustus},{GeneMark_model.4344_t;GeneMark},{GlimmerHMM_glimmerT_4074-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.1041/Target=lcl|KQ954479_1_prot_KWU44389_1_3146;exonerate}
18616	19326	internal+	2	1	{Augustus_model.g3395.t1;Augustus},{GeneMark_model.4344_t;GeneMark},{GlimmerHMM_glimmerT_4074-T1;GlimmerHMM}
19327	19404	INTRON			{Augustus_model.g3395.t1;Augustus},{GeneMark_model.4344_t;GeneMark},{GlimmerHMM_glimmerT_4074-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.1041/Target=lcl|KQ954479_1_prot_KWU44389_1_3146;exonerate}
19405	19597	internal+	2	2	{Augustus_model.g3395.t1;Augustus},{GeneMark_model.4344_t;GeneMark},{GlimmerHMM_glimmerT_4074-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.1041/Target=lcl|KQ954479_1_prot_KWU44389_1_3146;exonerate}
19598	19667	INTRON			{Augustus_model.g3395.t1;Augustus},{GeneMark_model.4344_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1041/Target=lcl|KQ954479_1_prot_KWU44389_1_3146;exonerate},{ev_type:exonerate/ID=match.2566964.3757/Target=lcl|PJQD01000129_1_prot_POY70292_1_648;exonerate}
19668	19709	internal+	3	2	{Augustus_model.g3395.t1;Augustus},{GeneMark_model.4344_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1041/Target=lcl|KQ954479_1_prot_KWU44389_1_3146;exonerate},{ev_type:exonerate/ID=match.2566964.3757/Target=lcl|PJQD01000129_1_prot_POY70292_1_648;exonerate}
19710	19776	INTRON			{Augustus_model.g3395.t1;Augustus},{GeneMark_model.4344_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1041/Target=lcl|KQ954479_1_prot_KWU44389_1_3146;exonerate},{ev_type:exonerate/ID=match.2566964.3757/Target=lcl|PJQD01000129_1_prot_POY70292_1_648;exonerate}
19777	20030	internal+	3	1	{Augustus_model.g3395.t1;Augustus},{GeneMark_model.4344_t;GeneMark},{GlimmerHMM_glimmerT_4074-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.1041/Target=lcl|KQ954479_1_prot_KWU44389_1_3146;exonerate},{ev_type:exonerate/ID=match.2566964.3757/Target=lcl|PJQD01000129_1_prot_POY70292_1_648;exonerate}
20031	20094	INTRON			{Augustus_model.g3395.t1;Augustus},{GeneMark_model.4344_t;GeneMark},{GlimmerHMM_glimmerT_4074-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.1041/Target=lcl|KQ954479_1_prot_KWU44389_1_3146;exonerate},{ev_type:exonerate/ID=match.2566964.3757/Target=lcl|PJQD01000129_1_prot_POY70292_1_648;exonerate}
20095	20469	internal+	2	1	{Augustus_model.g3395.t1;Augustus},{GeneMark_model.4344_t;GeneMark},{GlimmerHMM_glimmerT_4074-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.3757/Target=lcl|PJQD01000129_1_prot_POY70292_1_648;exonerate}
20470	20538	INTRON			{Augustus_model.g3395.t1;Augustus},{GeneMark_model.4344_t;GeneMark},{GlimmerHMM_glimmerT_4074-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.3757/Target=lcl|PJQD01000129_1_prot_POY70292_1_648;exonerate}
20539	20624	terminal+	2	3	{Augustus_model.g3395.t1;Augustus},{GeneMark_model.4344_t;GeneMark},{GlimmerHMM_glimmerT_4074-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 6.61 21005-23421 orient(-) score(13987.00) noncoding_equivalent(2117.00) raw_noncoding(3192.00) offset(1075.00)
21035	21005	terminal-	6	6	{GeneMark_model.4345_t;GeneMark},{Augustus_model.g3396.t1;Augustus}
21115	21036	INTRON			{GeneMark_model.4345_t;GeneMark},{Augustus_model.g3396.t1;Augustus}
21133	21116	internal-	6	5	{GeneMark_model.4345_t;GeneMark},{Augustus_model.g3396.t1;Augustus}
21206	21134	INTRON			{GeneMark_model.4345_t;GeneMark},{Augustus_model.g3396.t1;Augustus}
21235	21207	internal-	4	5	{GeneMark_model.4345_t;GeneMark},{Augustus_model.g3396.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3716/Target=lcl|NW_017264946_1_prot_XP_018267817_1_6920;exonerate}
21324	21236	INTRON			{GeneMark_model.4345_t;GeneMark},{Augustus_model.g3396.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3716/Target=lcl|NW_017264946_1_prot_XP_018267817_1_6920;exonerate}
21342	21325	internal-	4	6	{GeneMark_model.4345_t;GeneMark},{Augustus_model.g3396.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3716/Target=lcl|NW_017264946_1_prot_XP_018267817_1_6920;exonerate}
21413	21343	INTRON			{GeneMark_model.4345_t;GeneMark},{Augustus_model.g3396.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3716/Target=lcl|NW_017264946_1_prot_XP_018267817_1_6920;exonerate}
21459	21414	internal-	6	6	{GeneMark_model.4345_t;GeneMark},{GlimmerHMM_glimmerT_4075-T1;GlimmerHMM},{Augustus_model.g3396.t1;Augustus},{ev_type:exonerate/ID=match.2566964.3716/Target=lcl|NW_017264946_1_prot_XP_018267817_1_6920;exonerate}
