!! Predictions spanning range 3298 - 109459 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 2.27 3298-5475 orient(+) score(6047.00) noncoding_equivalent(2664.21) raw_noncoding(2664.21) offset(0.00) 
3298	5475	single+	1	3	{GeneMark_model.2189_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 1.30 5846-8535 orient(+) score(6085.00) noncoding_equivalent(4687.99) raw_noncoding(5442.02) offset(754.03) 
5846	6117	initial+	1	2	{GeneMark_model.2190_t;GeneMark}
6118	6183	INTRON			{GlimmerHMM_glimmerT_2030-T1;GlimmerHMM},{GeneMark_model.2190_t;GeneMark}
6184	6386	internal+	3	1	{GlimmerHMM_glimmerT_2030-T1;GlimmerHMM},{GeneMark_model.2190_t;GeneMark}
6387	6447	INTRON			{GlimmerHMM_glimmerT_2030-T1;GlimmerHMM},{GeneMark_model.2190_t;GeneMark}
6448	6640	internal+	2	2	{GeneMark_model.2190_t;GeneMark}
6641	6698	INTRON			{GeneMark_model.2190_t;GeneMark}
6699	6969	internal+	3	3	{GeneMark_model.2190_t;GeneMark}
6970	7030	INTRON			{GlimmerHMM_glimmerT_2030-T1;GlimmerHMM},{GeneMark_model.2190_t;GeneMark}
7031	7264	internal+	1	3	{GlimmerHMM_glimmerT_2030-T1;GlimmerHMM},{GeneMark_model.2190_t;GeneMark}
7265	7327	INTRON			{GlimmerHMM_glimmerT_2030-T1;GlimmerHMM},{GeneMark_model.2190_t;GeneMark}
7328	7487	internal+	1	1	{GlimmerHMM_glimmerT_2030-T1;GlimmerHMM},{GeneMark_model.2190_t;GeneMark}
7488	7554	INTRON			{GlimmerHMM_glimmerT_2030-T1;GlimmerHMM},{snap_scaffold_4-snap.481-T1;snap},{GeneMark_model.2190_t;GeneMark}
7555	8063	internal+	2	3	{GlimmerHMM_glimmerT_2030-T1;GlimmerHMM},{GeneMark_model.2190_t;GeneMark}
8064	8127	INTRON			{GlimmerHMM_glimmerT_2030-T1;GlimmerHMM},{GeneMark_model.2190_t;GeneMark}
8128	8535	terminal+	1	3	{GlimmerHMM_glimmerT_2030-T1;GlimmerHMM},{GeneMark_model.2190_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 1.30 8866-11371 orient(+) score(5590.00) noncoding_equivalent(4316.00) raw_noncoding(5638.00) offset(1322.00) 
8866	9902	initial+	1	2	{GlimmerHMM_glimmerT_2031-T1;GlimmerHMM},{GeneMark_model.2191_t;GeneMark}
9903	9967	INTRON			{GlimmerHMM_glimmerT_2031-T1;GlimmerHMM},{GeneMark_model.2191_t;GeneMark}
9968	10043	internal+	3	3	{GlimmerHMM_glimmerT_2031-T1;GlimmerHMM},{GeneMark_model.2191_t;GeneMark}
10044	10116	INTRON			{GlimmerHMM_glimmerT_2031-T1;GlimmerHMM},{GeneMark_model.2191_t;GeneMark}
10117	10267	internal+	1	1	{GlimmerHMM_glimmerT_2031-T1;GlimmerHMM},{GeneMark_model.2191_t;GeneMark}
10268	10327	INTRON			{GeneMark_model.2191_t;GeneMark}
10328	10538	internal+	2	2	{GeneMark_model.2191_t;GeneMark}
10539	10605	INTRON			{GlimmerHMM_glimmerT_2031-T1;GlimmerHMM},{GeneMark_model.2191_t;GeneMark}
10606	10667	internal+	3	1	{GlimmerHMM_glimmerT_2031-T1;GlimmerHMM},{GeneMark_model.2191_t;GeneMark}
10668	10868	INTRON			{GlimmerHMM_glimmerT_2031-T1;GlimmerHMM},{GeneMark_model.2191_t;GeneMark}
10869	10924	internal+	2	3	{GlimmerHMM_glimmerT_2031-T1;GlimmerHMM},{GeneMark_model.2191_t;GeneMark}
10925	10992	INTRON			{GlimmerHMM_glimmerT_2031-T1;GlimmerHMM},{GeneMark_model.2191_t;GeneMark}
10993	11092	internal+	1	1	{GlimmerHMM_glimmerT_2031-T1;GlimmerHMM},{GeneMark_model.2191_t;GeneMark}
11093	11195	INTRON			{GlimmerHMM_glimmerT_2031-T1;GlimmerHMM},{GeneMark_model.2191_t;GeneMark}
11196	11371	terminal+	2	3	{GlimmerHMM_glimmerT_2031-T1;GlimmerHMM},{GeneMark_model.2191_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 1.30 11622-13341 orient(-) score(3716.00) noncoding_equivalent(2859.76) raw_noncoding(3730.00) offset(870.24) 
11868	11622	terminal-	6	6	{GeneMark_model.2192_t;GeneMark},{GlimmerHMM_glimmerT_2032-T1;GlimmerHMM}
11935	11869	INTRON			{GeneMark_model.2192_t;GeneMark},{GlimmerHMM_glimmerT_2032-T1;GlimmerHMM}
12426	11936	internal-	4	5	{GeneMark_model.2192_t;GeneMark},{GlimmerHMM_glimmerT_2032-T1;GlimmerHMM}
12487	12427	INTRON			{GeneMark_model.2192_t;GeneMark}
12547	12488	internal-	4	6	{GeneMark_model.2192_t;GeneMark}
12641	12548	INTRON			{GeneMark_model.2192_t;GeneMark}
12941	12642	internal-	4	6	{GeneMark_model.2192_t;GeneMark},{GlimmerHMM_glimmerT_2032-T1;GlimmerHMM}
12999	12942	INTRON			{GeneMark_model.2192_t;GeneMark},{GlimmerHMM_glimmerT_2032-T1;GlimmerHMM}
13010	13000	internal-	5	6	{GeneMark_model.2192_t;GeneMark},{GlimmerHMM_glimmerT_2032-T1;GlimmerHMM}
13097	13011	INTRON			{GeneMark_model.2192_t;GeneMark},{GlimmerHMM_glimmerT_2032-T1;GlimmerHMM}
13341	13098	initial-	4	4	{GeneMark_model.2192_t;GeneMark},{GlimmerHMM_glimmerT_2032-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 1.16 21583-22802 orient(+) score(2623.00) noncoding_equivalent(2255.23) raw_noncoding(3311.00) offset(1055.77) 
21583	21636	initial+	1	3	{GeneMark_model.2196_t;GeneMark},{GlimmerHMM_glimmerT_2036-T1;GlimmerHMM}
21637	21711	INTRON			{GeneMark_model.2196_t;GeneMark},{GlimmerHMM_glimmerT_2036-T1;GlimmerHMM}
21712	21764	internal+	1	2	{GeneMark_model.2196_t;GeneMark},{GlimmerHMM_glimmerT_2036-T1;GlimmerHMM}
21765	21933	INTRON			{GeneMark_model.2196_t;GeneMark},{GlimmerHMM_glimmerT_2036-T1;GlimmerHMM}
