!! Predictions spanning range 2319 - 143231 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 10000.00 2319-3353 orient(+) score(4140.00) noncoding_equivalent(0.41) raw_noncoding(0.00) offset(0.00) 
2319	3353	single+	1	3	{Augustus_model.g2271.t1;Augustus},{GlimmerHMM_glimmerT_2753-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 2.05 3747-6100 orient(-) score(6879.00) noncoding_equivalent(3363.47) raw_noncoding(4294.00) offset(930.53) 
3939	3747	terminal-	6	6	{GeneMark_model.2936_t;GeneMark},{Augustus_model.g2272.t1;Augustus}
4002	3940	INTRON			{GeneMark_model.2936_t;GeneMark},{Augustus_model.g2272.t1;Augustus},{GlimmerHMM_glimmerT_2754-T1;GlimmerHMM}
4101	4003	internal-	6	5	{GeneMark_model.2936_t;GeneMark},{Augustus_model.g2272.t1;Augustus},{GlimmerHMM_glimmerT_2754-T1;GlimmerHMM}
4163	4102	INTRON			{GeneMark_model.2936_t;GeneMark},{Augustus_model.g2272.t1;Augustus},{GlimmerHMM_glimmerT_2754-T1;GlimmerHMM}
4404	4164	internal-	5	5	{GeneMark_model.2936_t;GeneMark},{Augustus_model.g2272.t1;Augustus},{GlimmerHMM_glimmerT_2754-T1;GlimmerHMM}
4471	4405	INTRON			{GeneMark_model.2936_t;GeneMark},{Augustus_model.g2272.t1;Augustus},{GlimmerHMM_glimmerT_2754-T1;GlimmerHMM}
4520	4472	internal-	4	4	{GeneMark_model.2936_t;GeneMark},{Augustus_model.g2272.t1;Augustus},{GlimmerHMM_glimmerT_2754-T1;GlimmerHMM}
4581	4521	INTRON			{GeneMark_model.2936_t;GeneMark},{Augustus_model.g2272.t1;Augustus}
4614	4582	internal-	4	6	{GeneMark_model.2936_t;GeneMark},{Augustus_model.g2272.t1;Augustus}
4675	4615	INTRON			{GeneMark_model.2936_t;GeneMark},{Augustus_model.g2272.t1;Augustus}
5165	4676	internal-	6	6	{GeneMark_model.2936_t;GeneMark},{Augustus_model.g2272.t1;Augustus},{GlimmerHMM_glimmerT_2754-T1;GlimmerHMM}
5229	5166	INTRON			{GeneMark_model.2936_t;GeneMark},{Augustus_model.g2272.t1;Augustus}
