# EVM prediction: Mode:STANDARD S-ratio: 14.19 707-2404 orient(-) score(6345.00) noncoding_equivalent(447.00) raw_noncoding(447.00) offset(0.00)
2404	707	single-	4	6	{GlimmerHMM_glimmerT_1122-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 1.62 3864-5094 orient(+) score(3290.00) noncoding_equivalent(2027.25) raw_noncoding(2775.00) offset(747.75)
3864	3870	initial+	1	1	{snap_scaffold_3-snap.2-T1;snap},{GeneMark_model.1219_t;GeneMark},{Augustus_model.g918.t1;Augustus}
3871	3994	INTRON			{GeneMark_model.1219_t;GeneMark},{Augustus_model.g918.t1;Augustus}
3995	4060	internal+	2	1	{GeneMark_model.1219_t;GeneMark},{Augustus_model.g918.t1;Augustus}
4061	4120	INTRON			{GeneMark_model.1219_t;GeneMark},{Augustus_model.g918.t1;Augustus}
4121	4183	internal+	2	1	{GeneMark_model.1219_t;GeneMark},{Augustus_model.g918.t1;Augustus}
4184	4265	INTRON			{GeneMark_model.1219_t;GeneMark},{Augustus_model.g918.t1;Augustus}
4266	4417	internal+	2	3	{GeneMark_model.1219_t;GeneMark},{Augustus_model.g918.t1;Augustus}
4418	4484	INTRON			{GlimmerHMM_glimmerT_1123-T1;GlimmerHMM},{GeneMark_model.1219_t;GeneMark},{Augustus_model.g918.t1;Augustus}
4485	4598	internal+	1	3	{GlimmerHMM_glimmerT_1123-T1;GlimmerHMM},{GeneMark_model.1219_t;GeneMark},{Augustus_model.g918.t1;Augustus}
4599	4666	INTRON			{GlimmerHMM_glimmerT_1123-T1;GlimmerHMM},{GeneMark_model.1219_t;GeneMark},{Augustus_model.g918.t1;Augustus}
4667	4841	internal+	1	1	{GlimmerHMM_glimmerT_1123-T1;GlimmerHMM},{GeneMark_model.1219_t;GeneMark},{Augustus_model.g918.t1;Augustus}
4842	4909	INTRON			{GlimmerHMM_glimmerT_1123-T1;GlimmerHMM},{GeneMark_model.1219_t;GeneMark},{Augustus_model.g918.t1;Augustus}
4910	5094	terminal+	2	3	{GlimmerHMM_glimmerT_1123-T1;GlimmerHMM},{GeneMark_model.1219_t;GeneMark},{Augustus_model.g918.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 4.55 5310-7051 orient(+) score(6081.00) noncoding_equivalent(1335.77) raw_noncoding(1538.51) offset(202.74)
5310	5330	initial+	1	3	{Augustus_model.g919.t1;Augustus},{GeneMark_model.1220_t;GeneMark},{GlimmerHMM_glimmerT_1124-T1;GlimmerHMM}
5331	5467	INTRON			{Augustus_model.g919.t1;Augustus},{GeneMark_model.1220_t;GeneMark},{GlimmerHMM_glimmerT_1124-T1;GlimmerHMM}
5468	5670	internal+	1	2	{Augustus_model.g919.t1;Augustus},{GeneMark_model.1220_t;GeneMark},{GlimmerHMM_glimmerT_1124-T1;GlimmerHMM}
5671	5733	INTRON			{Augustus_model.g919.t1;Augustus},{GeneMark_model.1220_t;GeneMark},{GlimmerHMM_glimmerT_1124-T1;GlimmerHMM}
5734	6394	internal+	3	3	{Augustus_model.g919.t1;Augustus},{GeneMark_model.1220_t;GeneMark},{GlimmerHMM_glimmerT_1124-T1;GlimmerHMM}
6395	6464	INTRON			{Augustus_model.g919.t1;Augustus},{GeneMark_model.1220_t;GeneMark},{GlimmerHMM_glimmerT_1124-T1;GlimmerHMM}
6465	6530	internal+	1	3	{Augustus_model.g919.t1;Augustus},{GeneMark_model.1220_t;GeneMark},{GlimmerHMM_glimmerT_1124-T1;GlimmerHMM}
6531	6601	INTRON			{Augustus_model.g919.t1;Augustus},{GeneMark_model.1220_t;GeneMark},{GlimmerHMM_glimmerT_1124-T1;GlimmerHMM}
6602	6700	internal+	1	3	{Augustus_model.g919.t1;Augustus},{GeneMark_model.1220_t;GeneMark}
6701	6775	INTRON			{Augustus_model.g919.t1;Augustus},{GeneMark_model.1220_t;GeneMark}
6776	7051	terminal+	1	3	{Augustus_model.g919.t1;Augustus},{GeneMark_model.1220_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 3.70 7768-8577 orient(+) score(4368.00) noncoding_equivalent(1179.16) raw_noncoding(1353.00) offset(173.84)
7768	7793	initial+	1	2	{GlimmerHMM_glimmerT_1125-T1;GlimmerHMM},{Augustus_model.g920.t1;Augustus},{GeneMark_model.1221_t;GeneMark}
7794	7855	INTRON			{GlimmerHMM_glimmerT_1125-T1;GlimmerHMM},{Augustus_model.g920.t1;Augustus},{GeneMark_model.1221_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1646/Target=lcl|KQ954526_1_prot_KWU41763_1_5900;exonerate},{ev_type:exonerate/ID=match.2566964.1648/Target=lcl|PJQD01000002_1_prot_POY76749_1_1906;exonerate}
7856	7875	internal+	3	1	{GlimmerHMM_glimmerT_1125-T1;GlimmerHMM},{Augustus_model.g920.t1;Augustus},{GeneMark_model.1221_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1646/Target=lcl|KQ954526_1_prot_KWU41763_1_5900;exonerate},{ev_type:exonerate/ID=match.2566964.1648/Target=lcl|PJQD01000002_1_prot_POY76749_1_1906;exonerate}
7876	7945	INTRON			{GlimmerHMM_glimmerT_1125-T1;GlimmerHMM},{Augustus_model.g920.t1;Augustus},{GeneMark_model.1221_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1646/Target=lcl|KQ954526_1_prot_KWU41763_1_5900;exonerate},{ev_type:exonerate/ID=match.2566964.1648/Target=lcl|PJQD01000002_1_prot_POY76749_1_1906;exonerate}
7946	8101	internal+	2	1	{GlimmerHMM_glimmerT_1125-T1;GlimmerHMM},{Augustus_model.g920.t1;Augustus},{GeneMark_model.1221_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1646/Target=lcl|KQ954526_1_prot_KWU41763_1_5900;exonerate},{ev_type:exonerate/ID=match.2566964.1648/Target=lcl|PJQD01000002_1_prot_POY76749_1_1906;exonerate}
8102	8190	INTRON			{GlimmerHMM_glimmerT_1125-T1;GlimmerHMM},{Augustus_model.g920.t1;Augustus},{GeneMark_model.1221_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1646/Target=lcl|KQ954526_1_prot_KWU41763_1_5900;exonerate},{ev_type:exonerate/ID=match.2566964.1648/Target=lcl|PJQD01000002_1_prot_POY76749_1_1906;exonerate}
8191	8289	internal+	2	1	{GlimmerHMM_glimmerT_1125-T1;GlimmerHMM},{Augustus_model.g920.t1;Augustus},{GeneMark_model.1221_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1646/Target=lcl|KQ954526_1_prot_KWU41763_1_5900;exonerate},{ev_type:exonerate/ID=match.2566964.1648/Target=lcl|PJQD01000002_1_prot_POY76749_1_1906;exonerate}
8290	8353	INTRON			{GlimmerHMM_glimmerT_1125-T1;GlimmerHMM},{Augustus_model.g920.t1;Augustus},{GeneMark_model.1221_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1646/Target=lcl|KQ954526_1_prot_KWU41763_1_5900;exonerate},{ev_type:exonerate/ID=match.2566964.1648/Target=lcl|PJQD01000002_1_prot_POY76749_1_1906;exonerate}
8354	8404	internal+	2	1	{GlimmerHMM_glimmerT_1125-T1;GlimmerHMM},{Augustus_model.g920.t1;Augustus},{GeneMark_model.1221_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1646/Target=lcl|KQ954526_1_prot_KWU41763_1_5900;exonerate},{ev_type:exonerate/ID=match.2566964.1648/Target=lcl|PJQD01000002_1_prot_POY76749_1_1906;exonerate}
8405	8479	INTRON			{GlimmerHMM_glimmerT_1125-T1;GlimmerHMM},{Augustus_model.g920.t1;Augustus},{GeneMark_model.1221_t;GeneMark},{ev_type:exonerate/ID=match.2566964.1646/Target=lcl|KQ954526_1_prot_KWU41763_1_5900;exonerate},{ev_type:exonerate/ID=match.2566964.1648/Target=lcl|PJQD01000002_1_prot_POY76749_1_1906;exonerate}
8480	8577	terminal+	2	3	{GlimmerHMM_glimmerT_1125-T1;GlimmerHMM},{Augustus_model.g920.t1;Augustus},{GeneMark_model.1221_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 2.00 8965-10741 orient(-) score(5535.00) noncoding_equivalent(2768.20) raw_noncoding(3328.00) offset(559.80)
9042	8965	terminal-	4	6	{GlimmerHMM_glimmerT_1126-T1;GlimmerHMM},{Augustus_model.g921.t1;Augustus},{GeneMark_model.1222_t;GeneMark}
9126	9043	INTRON			{GlimmerHMM_glimmerT_1126-T1;GlimmerHMM},{Augustus_model.g921.t1;Augustus},{GeneMark_model.1222_t;GeneMark}
9265	9127	internal-	6	6	{GlimmerHMM_glimmerT_1126-T1;GlimmerHMM},{Augustus_model.g921.t1;Augustus},{GeneMark_model.1222_t;GeneMark}
9344	9266	INTRON			{GlimmerHMM_glimmerT_1126-T1;GlimmerHMM},{Augustus_model.g921.t1;Augustus},{GeneMark_model.1222_t;GeneMark}
9499	9345	internal-	4	5	{GlimmerHMM_glimmerT_1126-T1;GlimmerHMM},{Augustus_model.g921.t1;Augustus},{GeneMark_model.1222_t;GeneMark}
9587	9500	INTRON			{GlimmerHMM_glimmerT_1126-T1;GlimmerHMM},{Augustus_model.g921.t1;Augustus},{GeneMark_model.1222_t;GeneMark}
9779	9588	internal-	4	6	{GlimmerHMM_glimmerT_1126-T1;GlimmerHMM},{Augustus_model.g921.t1;Augustus},{GeneMark_model.1222_t;GeneMark}
9853	9780	INTRON			{GlimmerHMM_glimmerT_1126-T1;GlimmerHMM},{Augustus_model.g921.t1;Augustus},{GeneMark_model.1222_t;GeneMark}
9972	9854	internal-	5	6	{GlimmerHMM_glimmerT_1126-T1;GlimmerHMM},{Augustus_model.g921.t1;Augustus},{GeneMark_model.1222_t;GeneMark}
10068	9973	INTRON			{GlimmerHMM_glimmerT_1126-T1;GlimmerHMM},{Augustus_model.g921.t1;Augustus},{GeneMark_model.1222_t;GeneMark}
10207	10069	internal-	4	4	{GlimmerHMM_glimmerT_1126-T1;GlimmerHMM},{Augustus_model.g921.t1;Augustus},{GeneMark_model.1222_t;GeneMark}
10275	10208	INTRON			{GlimmerHMM_glimmerT_1126-T1;GlimmerHMM},{Augustus_model.g921.t1;Augustus},{GeneMark_model.1222_t;GeneMark}
10382	10276	internal-	5	6	{GlimmerHMM_glimmerT_1126-T1;GlimmerHMM},{Augustus_model.g921.t1;Augustus},{GeneMark_model.1222_t;GeneMark}
10506	10383	INTRON			{GlimmerHMM_glimmerT_1126-T1;GlimmerHMM},{Augustus_model.g921.t1;Augustus},{GeneMark_model.1222_t;GeneMark}
