!! Predictions spanning range 3016 - 27987 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 722.03 3016-6372 orient(+) score(13899.00) noncoding_equivalent(19.25) raw_noncoding(19.25) offset(0.00) 
3016	6372	single+	1	3	{GeneMark_model.510_t;GeneMark},{Augustus_model.g461.t1;Augustus},{GlimmerHMM_glimmerT_469-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 3.03 6439-7497 orient(-) score(3268.00) noncoding_equivalent(1078.45) raw_noncoding(1215.45) offset(137.00) 
6609	6439	terminal-	4	6	{Augustus_model.g462.t1;Augustus},{GeneMark_model.511_t;GeneMark}
6678	6610	INTRON			{Augustus_model.g462.t1;Augustus},{GeneMark_model.511_t;GeneMark}
6760	6679	internal-	6	6	{Augustus_model.g462.t1;Augustus},{GeneMark_model.511_t;GeneMark}
6826	6761	INTRON			{Augustus_model.g462.t1;Augustus},{GeneMark_model.511_t;GeneMark},{GlimmerHMM_glimmerT_470-T1;GlimmerHMM}
7497	6827	initial-	4	5	{GeneMark_model.511_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 3.11 7720-9436 orient(+) score(5593.00) noncoding_equivalent(1801.08) raw_noncoding(2150.31) offset(349.23) 
7720	7736	initial+	1	2	{GeneMark_model.512_t;GeneMark},{Augustus_model.g463.t1;Augustus}
7737	7800	INTRON			{GeneMark_model.512_t;GeneMark},{Augustus_model.g463.t1;Augustus}
7801	8137	internal+	3	3	{GeneMark_model.512_t;GeneMark},{Augustus_model.g463.t1;Augustus}
8138	8210	INTRON			{GlimmerHMM_glimmerT_471-T1;GlimmerHMM},{GeneMark_model.512_t;GeneMark},{Augustus_model.g463.t1;Augustus}
8211	8402	internal+	1	3	{GlimmerHMM_glimmerT_471-T1;GlimmerHMM},{GeneMark_model.512_t;GeneMark},{Augustus_model.g463.t1;Augustus}
8403	8461	INTRON			{GlimmerHMM_glimmerT_471-T1;GlimmerHMM},{GeneMark_model.512_t;GeneMark},{Augustus_model.g463.t1;Augustus}
8462	8560	internal+	1	3	{GlimmerHMM_glimmerT_471-T1;GlimmerHMM},{GeneMark_model.512_t;GeneMark},{Augustus_model.g463.t1;Augustus}
8561	8631	INTRON			{GlimmerHMM_glimmerT_471-T1;GlimmerHMM},{GeneMark_model.512_t;GeneMark},{Augustus_model.g463.t1;Augustus}
8632	9263	internal+	1	2	{GlimmerHMM_glimmerT_471-T1;GlimmerHMM},{GeneMark_model.512_t;GeneMark},{Augustus_model.g463.t1;Augustus}
9264	9333	INTRON			{GlimmerHMM_glimmerT_471-T1;GlimmerHMM},{GeneMark_model.512_t;GeneMark},{Augustus_model.g463.t1;Augustus}
9334	9436	terminal+	3	3	{GlimmerHMM_glimmerT_471-T1;GlimmerHMM},{GeneMark_model.512_t;GeneMark},{Augustus_model.g463.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 7.10 10886-13577 orient(+) score(10343.00) noncoding_equivalent(1456.04) raw_noncoding(1705.00) offset(248.96) 
10886	10900	initial+	1	3	{GeneMark_model.513_t;GeneMark},{Augustus_model.g464.t1;Augustus},{GlimmerHMM_glimmerT_472-T1;GlimmerHMM}
10901	10963	INTRON			{GeneMark_model.513_t;GeneMark},{Augustus_model.g464.t1;Augustus},{GlimmerHMM_glimmerT_472-T1;GlimmerHMM}
10964	11490	internal+	1	2	{GeneMark_model.513_t;GeneMark},{Augustus_model.g464.t1;Augustus}
11491	11562	INTRON			{GeneMark_model.513_t;GeneMark},{Augustus_model.g464.t1;Augustus},{ev_type:exonerate/ID=match.2566964.313/Target=lcl|KQ954466_1_prot_KWU46880_1_969;exonerate}
11563	12084	internal+	3	2	{GeneMark_model.513_t;GeneMark},{Augustus_model.g464.t1;Augustus},{GlimmerHMM_glimmerT_472-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.313/Target=lcl|KQ954466_1_prot_KWU46880_1_969;exonerate}
12085	12142	INTRON			{GeneMark_model.513_t;GeneMark},{Augustus_model.g464.t1;Augustus},{GlimmerHMM_glimmerT_472-T1;GlimmerHMM},{ev_type:exonerate/ID=match.2566964.313/Target=lcl|KQ954466_1_prot_KWU46880_1_969;exonerate}
12143	13577	terminal+	3	3	{GeneMark_model.513_t;GeneMark},{GlimmerHMM_glimmerT_472-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 2.26 14066-16037 orient(+) score(7879.00) noncoding_equivalent(3492.00) raw_noncoding(4324.00) offset(832.00) 
14066	14142	initial+	1	2	{GeneMark_model.514_t;GeneMark},{Augustus_model.g465.t1;Augustus},{GlimmerHMM_glimmerT_473-T1;GlimmerHMM}
