!! Predictions spanning range 1847 - 84476 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 3.00 1847-3418 orient(+) score(4716.00) noncoding_equivalent(1572.00) raw_noncoding(1572.00) offset(0.00) 
1847	3418	single+	1	3	{Augustus_model.g2783.t1;Augustus},{GeneMark_model.3600_t;GeneMark},{GlimmerHMM_glimmerT_3379-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 1.62 3628-7251 orient(-) score(9219.00) noncoding_equivalent(5692.28) raw_noncoding(7856.62) offset(2164.34) 
3794	3628	terminal-	5	6	{GeneMark_model.3601_t;GeneMark},{Augustus_model.g2784.t1;Augustus},{GlimmerHMM_glimmerT_3380-T1;GlimmerHMM}
3865	3795	INTRON			{GeneMark_model.3601_t;GeneMark},{Augustus_model.g2784.t1;Augustus},{GlimmerHMM_glimmerT_3380-T1;GlimmerHMM}
4072	3866	internal-	5	4	{GeneMark_model.3601_t;GeneMark},{Augustus_model.g2784.t1;Augustus},{GlimmerHMM_glimmerT_3380-T1;GlimmerHMM}
4157	4073	INTRON			{GeneMark_model.3601_t;GeneMark},{Augustus_model.g2784.t1;Augustus},{GlimmerHMM_glimmerT_3380-T1;GlimmerHMM}
4284	4158	internal-	4	4	{GeneMark_model.3601_t;GeneMark},{Augustus_model.g2784.t1;Augustus},{GlimmerHMM_glimmerT_3380-T1;GlimmerHMM}
4347	4285	INTRON			{GeneMark_model.3601_t;GeneMark},{Augustus_model.g2784.t1;Augustus},{GlimmerHMM_glimmerT_3380-T1;GlimmerHMM}
4567	4348	internal-	6	6	{Augustus_model.g2784.t1;Augustus},{GlimmerHMM_glimmerT_3380-T1;GlimmerHMM}
4896	4568	INTRON			{Augustus_model.g2784.t1;Augustus},{GlimmerHMM_glimmerT_3380-T1;GlimmerHMM}
5239	4897	internal-	5	5	{GeneMark_model.3601_t;GeneMark},{Augustus_model.g2784.t1;Augustus},{GlimmerHMM_glimmerT_3380-T1;GlimmerHMM}
5544	5240	INTRON			{GeneMark_model.3601_t;GeneMark},{GlimmerHMM_glimmerT_3380-T1;GlimmerHMM}
5760	5545	internal-	5	4	{GeneMark_model.3601_t;GeneMark},{GlimmerHMM_glimmerT_3380-T1;GlimmerHMM}
5839	5761	INTRON			{GeneMark_model.3601_t;GeneMark},{Augustus_model.g2784.t1;Augustus}
5949	5840	internal-	6	4	{GeneMark_model.3601_t;GeneMark}
6023	5950	INTRON			{GeneMark_model.3601_t;GeneMark}
6114	6024	internal-	5	5	{GeneMark_model.3601_t;GeneMark}
6205	6115	INTRON			{GeneMark_model.3601_t;GeneMark}
6280	6206	internal-	5	4	{GeneMark_model.3601_t;GeneMark},{Augustus_model.g2784.t1;Augustus}
6344	6281	INTRON			{GeneMark_model.3601_t;GeneMark},{Augustus_model.g2784.t1;Augustus}
6556	6345	internal-	6	4	{GeneMark_model.3601_t;GeneMark},{Augustus_model.g2784.t1;Augustus}
6625	6557	INTRON			{GeneMark_model.3601_t;GeneMark},{Augustus_model.g2784.t1;Augustus}
6710	6626	internal-	5	5	{GeneMark_model.3601_t;GeneMark},{Augustus_model.g2784.t1;Augustus}
6797	6711	INTRON			{GeneMark_model.3601_t;GeneMark},{Augustus_model.g2784.t1;Augustus}
6996	6798	internal-	4	4	{GeneMark_model.3601_t;GeneMark},{Augustus_model.g2784.t1;Augustus},{GlimmerHMM_glimmerT_3380-T1;GlimmerHMM}
7080	6997	INTRON			{GeneMark_model.3601_t;GeneMark},{Augustus_model.g2784.t1;Augustus},{GlimmerHMM_glimmerT_3380-T1;GlimmerHMM}
